sentence1,sentence2,sentence3,sentence4,sentence5,event,emotional,label,normal
"Then, he fell asleep.",He stayed home from work and did everything he knew of to help.,Sean had an awful flu .,"By the end of the day , he did feel somewhat better .",But when he woke up feeling even worse the next morning .,"feel,feeling,stayed,help,woke,knew","awful, flu, feeling, worse",2.0,"feel,feeling,stayed,help,woke,knewawful, flu, feeling, worse"
He paid for the entire meal in change.,He had so much money that be took his friends out to eat.,At the end of the week he collected all the money .,People drove by and threw coins into his fountain.,A man made a wishing well next to his mailbox.,"collected,wishing,threw,drove,eat","money, money",2.0,"collected,wishing,threw,drove,eatmoney, money"
She was so exhausted that she fell asleep on the bus back home.,[NEUTRAL] was not excited to go to school .,She missed school due to having the flu last week .,She had a week 's worth of homework to make up .,[NEUTRAL] had to make - up 3 tests that day .,"excited,missed","excited, flu, homework",0.0,"excited,missedexcited, flu, homework"
She did it!,[NEUTRAL] did not quite dare to do it .,Then she dared [NEUTRAL] to eat a live worm !,Becky crowed that she was braver than [NEUTRAL] !,[NEUTRAL] dared his sister [NEUTRAL] to eat raw broccoli .,"crowed,dared,eat",worm,2.0,"crowed,dared,eatworm"
[NEUTRAL] found out his dog hated cats .,He was normally a friendly dog.,[NEUTRAL] took his dog to the dog park .,All of a sudden he started barking aggressively.,It was at a cat that had wandered near.,"wandered,barking,started","friendly, sudden",2.0,"wandered,barking,startedfriendly, sudden"
He threw it on the floor.,I picked the hat up.,I put it on our hat rack.,My brother was wearing a hat.,He took it off his head.,"wearing,picked,put",rack,2.0,"wearing,picked,putrack"
[NEUTRAL] found that he 'd wandered 75 miles out of his way !,[NEUTRAL] was on his way to visit a friend in another state .,He couldn't figure out his location on any of his maps.,"Halfway there, he got lost.",He had to pull into a gas station and shamefacedly ask directions.,"figure,visit,lost,pull","friend, lost",2.0,"figure,visit,lost,pullfriend, lost"
She opened the fridge to grab some ingredients.,The last thing she was going to grab was the vegetables.,Then she saw that they were all brown and mushy.,She did her best to cut away the bad parts.,[NEUTRAL] was making a soup .,"cut,grab,saw","grab, bad",2.0,"cut,grab,sawgrab, bad"
The tree breaks [NEUTRAL] 's neck .,As he is cutting down the last tree it falls on him.,He cuts down a bunch of trees.,Randy is outside cutting down trees .,Randy gets tired .,"tired,cutting,cuts,falls","cutting, tree, cutting",2.0,"tired,cutting,cuts,fallscutting, tree, cutting"
Addison has decided to take her car to work instead .,"Yesterday , a ferryboat caught on fire .",She takes one to work every day .,Addison likes ferryboats.,Addison got to shore safe but she was scared.,"shore,scared,likes,work","fire, safe",2.0,"shore,scared,likes,workfire, safe"
One held out a gun and asked all the money .,Sal was working at the gas station.,The other punched him in the face.,Around 10 pm two masked men came in .,The robbers then ran off.,"masked,punched,working,ran",,2.0,"masked,punched,working,ran"
One day I create a fire in my room .,I had a burn mark in my hand.,I burn my hand.,I like to play fire.,My bed was on fire.,"burn,like,play","like, fire, fire",0.0,"burn,like,playlike, fire, fire"
He was in a lot of pain.,He was very thankful.,He lost his hand.,The doctors saved his life.,Clint got in an accident.,"saved,lost","thankful, lost, accident",0.0,"saved,lostthankful, lost, accident"
[NEUTRAL] decided to go to his friend 's Halloween party as baby .,He didn't feel like doing too much work on a costume.,"They were all babies, too, just wearing a sheet as a diaper.",Six of his friends had the same idea .,"So he took a white sheet, fashioning a diaper.","fashioning,wearing,feel","like, diaper, white, diaper",0.0,"fashioning,wearing,feellike, diaper, white, diaper"
He jumped out of bed to see what the problem was.,All of a sudden he woke up to a smoke alarm.,He found his wife in the kitchen with burnt toast.,[NEUTRAL] was sleeping soundly .,[NEUTRAL] helped her turn the alarm off .,"sleeping,helped,woke","sudden, alarm, found, burnt, toast, alarm",0.0,"sleeping,helped,wokesudden, alarm, found, burnt, toast, alarm"
"I left empty, tired and disappointed.",I waited in a long line to be let into the store.,"All around me, people rushed in to get the best deals.",I decided to go out shopping the night of Black Friday to get deals .,"I relentlessly looked, but there was nothing that caught my eye.","shopping,rushed,let,caught,waited,looked",shopping,1.0,"shopping,rushed,let,caught,waited,lookedshopping"
"Suddenly, his son's school called.",His son was sick.,[NEUTRAL] was at work .,Jame's had to go to the school and pick him up.,"Then, he took him home.",,sick,2.0,sick
[NEUTRAL] keeps losing his wallet .,He and his friends think it looks ridiculous.,[NEUTRAL] no longer loses his wallet .,But the chain works.,So buys a wallet with a chain.,"loses,think,looks",ridiculous,2.0,"loses,think,looksridiculous"
We put a bet down for that horse to win.,Our horse won.,My son found a horse in the 2nd race that he really liked .,I went with my family to the horse track.,We watched the race and screamed the whole time.,"screamed,watched,liked","found, liked",2.0,"screamed,watched,likedfound, liked"
So the asparagus wasn't so bad after all.,He especially hated vegetables.,His grandmother served his Something green that looked like spears.,She told him to pretend he was destroying light sabers as he ate them.,[NEUTRAL] was a notoriously picky eater .,"destroying,served,pretend,hated,Something,ate,looked","green, like, destroying",2.0,"destroying,served,pretend,hated,Something,ate,lookedgreen, like, destroying"
She slipped in the water.,[NEUTRAL] wanted to jump on her trampoline .,"When she tried to jump, the surface was wet.",She decided to wait until later.,It had rained last night though .,"rained,jump,wait,tried","jump, jump",2.0,"rained,jump,wait,triedjump, jump"
The barn cats rushed over to clean it up.,[NEUTRAL] was visiting his uncle 's farm .,It was hard work but he managed to get almost a full bucket.,His uncle showed him how to milk a cow.,Then the cow kicked it over.,"milk,managed,kicked,visiting,showed",,2.0,"milk,managed,kicked,visiting,showed"
Her mom gave her a small bag to fill.,That way she got to try everything.,She decided to put one piece of each flavor in the bag .,There were so many flavors of salt water taffy!,[NEUTRAL] was at a candy store at the beach .,"put,try",beach,2.0,"put,trybeach"
She bought him a new tv because she knew that he watched a lot of tv.,[NEUTRAL] came home and was surprised at the new tv .,[NEUTRAL] wanted to surprise her husband who was coming home from the army .,She thought of what her husband would want.,"However , [NEUTRAL] had bad news which was he had to go back in a month .","surprise,surprised,thought","surprised, surprise, bad",0.0,"surprise,surprised,thoughtsurprised, surprise, bad"
"A boy walked up, telling him it was his favorite book.",[NEUTRAL] did n't have many friends in his class .,He and the boy ended up becoming friends after that.,He had just moved earlier in the year .,He was reading the book [NEUTRAL] [NEUTRAL] at recess .,"reading,becoming,moved,ended",boy,2.0,"reading,becoming,moved,endedboy"
"Usually, my mom hates birds.",He said it to my mom.,My pet bird repeats everything you say.,My mom fell in love with the bird!,I taught him to say I love you.,"taught,fell,said,say,love","fell, love, love",2.0,"taught,fell,said,say,lovefell, love, love"
A cool breeze could be felt while I was sleeping.,The trampoline was big and very comfortable.,I slept outside on my trampoline last Saturday .,I woke relaxed and ready to begin the day .,I brought some blankets because it was getting cool.,"slept,brought,woke,begin",,2.0,"slept,brought,woke,begin"
Everyone seemed to know about it but her.,One day he came up with a plan .,He went out into the meadow and picked a bunch of wildflowers.,[NEUTRAL] had a crush on [NEUTRAL] .,"He walked up to [NEUTRAL] , asked her out , and she said yes .","picked,said,walked,asked",,2.0,"picked,said,walked,asked"
[NEUTRAL] kept messing up at work .,[NEUTRAL] messed up again .,His boss told him it was his last warning.,The boss felt bad.,He gave [NEUTRAL] one last last warning .,"messed,felt,gave","warning, bad, warning",0.0,"messed,felt,gavewarning, bad, warning"
"And when she did, she felt a lot better.",Cathy felt a bit of cold coming.,She drank a few sips of water to swallow it.,She squirted some lemon juice down her throat to help.,"But as a lemon pit fell with the juice, she choke on it.","choke,squirted,swallow,drank,help,felt,fell","lemon, lemon, fell, choke",2.0,"choke,squirted,swallow,drank,help,felt,felllemon, lemon, fell, choke"
Carter saw that one boy was her brother .,She marched over and broke up the fight immediately.,[NEUTRAL] was at a party with her friends .,Two boys were pushing each other around by the pool .,They were in the back yard when a fight broke out.,"marched,pushing,broke","broke, fight, fight, broke",0.0,"marched,pushing,brokebroke, fight, fight, broke"
Him mom was making caramel apples when he had them all open.,Oliver felt like he 'd spent hours unwrapping caramels .,He got to eat one right away as a reward for his hard work.,She dipped the apples into the melted caramel.,But it would be worth his time and effort.,"dipped,unwrapping,spent,felt,eat","like, reward",2.0,"dipped,unwrapping,spent,felt,eatlike, reward"
He threw it on the ground.,It was cold.,In front of him was a bowl of chicken noodle.,He got very angry.,[NEUTRAL] sat down to eat some soup .,"cold,sat,eat","chicken, angry",2.0,"cold,sat,eatchicken, angry"
I came out to meet him as he did this.,The mailman said he could if it had stamps on it.,The mailman came to my door to deliver some letters.,I asked the mailman if he could deliver Something for me.,I handed the mailman a frying pan with 20 stamps on it .,"stamps,deliver,handed,Something,said,asked",,1.0,"stamps,deliver,handed,Something,said,asked"
[NEUTRAL] did n't often ride his bike and had forgotten how to use the gears .,He arrived home exhausted and decided to practice gear-shifting.,[NEUTRAL] decided he wanted to ride his bike to work to get some exercise .,Going home was difficult since the ride was all uphill.,Getting to work was simple since it was all down hill.,"Going,Getting,exhausted,ride,arrived,work","exhausted, difficult, uphill",2.0,"Going,Getting,exhausted,ride,arrived,workexhausted, difficult, uphill"
"While waiting , [NEUTRAL] felt a strong tug .",Trevor sat down by the lake and threw out a fishing line.,"He tried to fight back, but the pole was yanked into the water.",Trevor went to the lake one day to fish .,[NEUTRAL] was forced to go home after he lost his fishing pole .,"yanked,forced,fish,fight,lost,threw,sat,tried","fight, forced, lost",2.0,"yanked,forced,fish,fight,lost,threw,sat,triedfight, forced, lost"
So he didn't usually pay much attention when the other team was up.,The kids were only nine and nobody ever hit it that far .,In the sixth inning he looked up to see the ball sailing towards him .,"He caught it, getting the out.",[NEUTRAL] played in the outfield of his baseball team .,"hit,caught,see,looked,played",hit,2.0,"hit,caught,see,looked,playedhit"
