sentence1,sentence2,sentence3,sentence4,sentence5
I tried watching all of them at once.,That did not work out well and I got sick.,I have about six shows I love to watch .,"Now, I only watch one at a time.",I love watching television.
An employee noticed.,[NEUTRAL] tried to run away but was stopped .,[NEUTRAL] was hungry but had no money .,He got into big trouble and now has a record.,He decided to steal some food at the grocery store.
My neighbor told me it was a trip hazard.,The wire for the fence was showing on my sidewalk.,I covered up the wire with dirt.,My neighbor was grateful that I fixed the trip hazard for her.,I have an underground dog fence.
The rash cleared up.,The man shaves his beard.,He put some cream on his face.,His skin underneath had a rash.,The man did not grow a beard again.
[NEUTRAL] had fun at the skatepark .,His parents drove him to the skatepark.,[NEUTRAL] loved to skateboard .,One day he asked his parents to go to a skate park .,His parents said yes.
He still has pictures of the trip to this day .,[NEUTRAL] returned to the zoo several times and even worked there .,He was excited by everything he saw.,[NEUTRAL] was ten when he first went to the zoo .,He had never seen so many animals before in his life.
Rico has many new pen pals that he writes to every week .,He was sad because he had made many new friends in Iowa .,"When Rico arrived home , he already had letters waiting for him .","When the summer came , Rico had to move back home .","On the last day of school , Rico exchanged addresses with his friends ."
Than she began to roll it in balls.,Soon she had a big Snowman .,She went outside in the snow.,[NEUTRAL] loved to build snowmen .,[NEUTRAL] had the coolest snowman on the block .
The baby started crying immediately.,[NEUTRAL] was putting her baby down for a nap .,It took nearly thirty minutes to get him to go to sleep .,She laid the baby in it's crib and tried to leave.,[NEUTRAL] had so stay with the baby or else he would cry .
I had a terrible customer at the restaurant today .,"Although it had not been long at all, I apologized.",She asked for a bottle of wine.,"Instead, I wish I could have told her that she was rude.","When I brought the bottle of wine, she complained about the long wait."
"As i passed this one store i noticed a big "" Sale "" sign .",I love scoring sweet deals at the mall.,I grabbed two sweaters and as i checked out they rang up even cheaper .,I quickly went inside to check out the deal for some cute sweaters.,Today i was shopping at the mall .
He bought some.,[NEUTRAL] wore socks a lot .,People thought he was weird.,He would look online for new ones.,He got holes in them all the time.
But his face was caught on camera.,The cops played the tape on the news.,Nick robbed a bank .,Soon Nick was caught !,He thought he did a good job of it.
He went back to the couch to sleep.,The man went to the window and closed the curtains.,At some point he fell asleep.,He was awoken hours later when the sun shone in his eyes .,A man sat on his couch and began to feel sleepy.
[NEUTRAL] ca n't sleep at night .,So Dad gives him a blanket and tells him that it's a magic blanket.,[NEUTRAL] believes that he is protected by the blanket and he sleeps well .,Dad tells him there is no such thing as monsters but it doesn't help.,He is afraid of the monsters under the bed.
The two cats jumped all over everything .,They drove [NEUTRAL] crazy .,So he locked them out of the house.,[NEUTRAL] owned a cat .,It brought home a friend.
Julie liked to see her dog happy.,She gave her a dog sweater.,She could run around outside in the cold.,[NEUTRAL] 's dog was always cold .,The dog loved it!
[NEUTRAL] told [NEUTRAL] he was a liar and a cheater in front of the cops .,"She called the police , but [NEUTRAL] did n't leave .","[NEUTRAL] was a good man to [NEUTRAL] , but she did n't like him .",They argued when she tried to break up with him.,Johnny punched Annita in her nose right in front of the cops .
[NEUTRAL] was riding her bike .,[NEUTRAL] broke her wrist .,She was going really fast down the sidewalk.,A dog jumped out in front of her.,[NEUTRAL] flipped over her handlebars .
"On the day of the big move , Jaiden saw many children playing outside .","[NEUTRAL] played into the afternoon , and felt his nervousness slip away .",[NEUTRAL] was nervous about moving to a new home .,He thought about all the friends he would miss.,The children immediately invited Jaden to play with them .
His phone was dead.,He stopped by Someone's house and asked for directions.,He got lost on the way.,[NEUTRAL] was driving to a new friend 's house .,He made it safe.
Her brother could do all kinds of tricks with his.,He always teased her that he was better.,She practiced doing tricks.,Bethany loved her yo-yo.,She got to be better than her older brother!
They borrowed a hat from their dad's closet.,They rolled three large balls for the body .,She had to help them stack the balls one on top of the other.,[NEUTRAL] 's kids wanted to build a giant snowman .,[NEUTRAL] gave them a giant carrot for the nose for the finishing touch .
She picked up a penny she saw on the ground .,[NEUTRAL] was missing her grandfather who recently passed away .,She felt like it was a sign that he was thinking of her too.,She was thinking about him as she walked down the sidewalk.,"It was dated 1943 , the year her grandfather was born ."
She decided to jump across a pipe to get to the other side.,"Later that day , she was taken to the ambulance .",Her friend [NEUTRAL] had to go to her and seek help .,[NEUTRAL] was running on top of the building .,"However, she slipped and fell."
They are really expensive.,My daughter has been dying to get an American Girl doll .,I think I will get it for her on her birthday.,I hope she will play with it if I buy it for her.,She has been begging me for months .
"Unfortunately, he measured wrong, and the dip was too spicy to eat.",Jeremy decided he 'd make his family 's famous buffalo chicken dip .,His mother usually helped him with the hard parts.,All of the employees were asked to bring a dish to the office party.,"This time, he tried to make it himself."
Last week it was raining really hard .,I taught my dog a new trick.,But instead I had to deal with a soggy paper in bed.,In the mornings he brings me my newspaper .,I tried to tell him to stay inside.
"On the way, I thought about what I needed to buy.","I bought everything on the list, and had trouble carrying it home.",I took my list into the store with me.,I needed to get groceries yesterday .,I walked to the store instead of driving.
Daniel then went to the store to pick up some flowers for [NEUTRAL] .,"The mouse , [NEUTRAL] , had been in the family for years .",Daniel decided to bury him out back .,Daniel 's pet mouse passed away in the night .,He was sad as he placed his pet in the dirt.
Then she went to the kitchen to eat breakfast.,[NEUTRAL] had to get ready for school .,After breakfast she brushed her teeth.,When she was done the buss was waiting outside.,She got out of bed and changed into her school clothes.
